"配信日","表示数","クリック率","クリック数","応募開始率","応募開始数","応募完了率","応募数","応募率","クリック単価","応募開始単価","応募単価","利用済予算"
"合計","16,937","5.04%","853","2.58%","22","63.64%","14","1.64%","¥161","¥6,223","¥9,779","¥136,910"
"2026/03/01","1,299","4.54%","59","0%","0","0%","0","0%","¥185","¥0","¥0","¥10,940"
"2026/03/02","1,406","5.69%","80","0%","0","0%","0","0%","¥172","¥0","¥0","¥13,734"
"2026/03/03","1,475","5.69%","84","3.57%","3","66.67%","2","2.38%","¥105","¥2,936","¥4,404","¥8,807"
"2026/03/04","1,412","4.89%","69","2.9%","2","100%","2","2.9%","¥115","¥3,959","¥3,959","¥7,918"
"2026/03/05","1,072","3.82%","41","7.32%","3","33.33%","1","2.44%","¥189","¥2,578","¥7,735","¥7,735"
"2026/03/06","300","6%","18","11.11%","2","100%","2","11.11%","¥575","¥5,174","¥5,174","¥10,348"
"2026/03/07","526","3.8%","20","0%","0","0%","0","0%","¥56","¥0","¥0","¥1,123"
"2026/03/08","814","4.3%","35","2.86%","1","0%","0","0%","¥287","¥10,036","¥0","¥10,036"
"2026/03/09","1,049","4.96%","52","5.77%","3","100%","3","5.77%","¥118","¥2,039","¥2,039","¥6,116"
"2026/03/10","1,264","5.38%","68","4.41%","3","33.33%","1","1.47%","¥152","¥3,449","¥10,346","¥10,346"
"2026/03/11","1,261","4.76%","60","1.67%","1","100%","1","1.67%","¥185","¥11,071","¥11,071","¥11,071"
"2026/03/12","935","4.17%","39","2.56%","1","0%","0","0%","¥165","¥6,450","¥0","¥6,450"
"2026/03/13","996","5.42%","54","1.85%","1","100%","1","1.85%","¥114","¥6,135","¥6,135","¥6,135"
"2026/03/14","747","5.49%","41","2.44%","1","100%","1","2.44%","¥190","¥7,773","¥7,773","¥7,773"
"2026/03/15","1,023","5.67%","58","1.72%","1","0%","0","0%","¥87","¥5,040","¥0","¥5,040"
"2026/03/16","1,315","5.17%","68","0%","0","0%","0","0%","¥146","¥0","¥0","¥9,937"
"2026/03/17","43","16.28%","7","0%","0","0%","0","0%","¥486","¥0","¥0","¥3,401"
